date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-09-04,8,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,290.0,290.0,0.01,0.01,250.0,290.0,14.66,14.17,,0.31820238,269.0,0.29677272,0.49716502,0.00057459,9.33282134,-46.81210011,0.01,259.85774
2023-09-04,8,BTC-230907-26000-P,BTCUSDT,P,230907-26000,0.0,0.0,0.0,0.0,0.0,0.0,275.0,300.0,8.13,3.0,,0.31368852,287.0,0.30029505,-0.50267596,0.00056786,9.33284703,-47.36783404,0.0,0.0
2023-09-04,9,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,290.0,290.0,0.01,0.01,250.0,270.0,0.02,11.03,,0.31656802,259.0,0.30574769,0.47864079,0.00056163,9.24187694,-48.44007931,0.01,259.49962941
2023-09-04,9,BTC-230907-26000-P,BTCUSDT,P,230907-26000,0.0,0.0,0.0,0.0,0.0,0.0,295.0,320.0,12.63,3.0,,0.31902194,307.0,0.30549645,-0.5213857,0.00056209,9.24184399,-48.40010343,0.0,0.0
2023-09-04,10,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,250.0,250.0,0.04,0.04,215.0,245.0,19.9,11.5,,0.31407773,229.0,0.29760569,0.45192283,0.00057875,9.10648022,-47.13268609,0.04,1036.47805647
2023-09-04,10,BTC-230907-26000-P,BTCUSDT,P,230907-26000,0.0,0.0,0.0,0.0,0.0,0.0,325.0,340.0,0.03,3.0,,0.31751454,332.0,0.30928403,-0.54586716,0.00055726,9.11247733,-49.01447615,0.0,0.0
2023-09-04,11,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,250.0,250.0,0.04,0.04,205.0,230.0,19.71,11.69,,0.30716121,217.0,0.29327869,0.4418716,0.00058992,9.00446161,-46.60245804,0.04,1035.82762353
2023-09-04,11,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,315.0,340.0,9.51,2.5,,0.31082273,327.0,0.29694468,-0.55728904,0.00058282,9.00724129,-47.19955478,0.03,776.87071765
2023-09-04,12,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,250.0,250.0,0.04,0.04,205.0,230.0,2.48,11.96,,0.32663167,217.0,0.31253338,0.42608928,0.00055474,8.86656955,-49.63141701,0.04,1034.35504615
2023-09-04,12,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,350.0,370.0,11.72,2.5,,0.32466531,359.0,0.31338781,-0.57368226,0.00055329,8.86753078,-49.7724992,0.03,775.76628462
2023-09-04,13,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,250.0,250.0,0.04,0.04,210.0,230.0,2.5,11.77,,0.31658232,219.0,0.30528843,0.43803233,0.00057461,8.85472617,-49.14971106,0.04,1035.27531765
2023-09-04,13,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,320.0,345.0,2.46,12.44,,0.31509221,332.0,0.30096918,-0.56299839,0.00058261,8.85108425,-48.43440702,0.03,776.45648824
2023-09-04,14,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,250.0,250.0,0.04,0.04,195.0,215.0,0.12,12.05,,0.31615615,204.0,0.30467272,0.42061126,0.00057626,8.70846247,-48.98251554,0.04,1034.13988235
2023-09-04,14,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,340.0,365.0,0.03,11.63,,0.32160759,352.0,0.30725837,-0.57864269,0.00057162,8.71177521,-49.41700416,0.03,775.60491176
2023-09-04,15,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,195.0,195.0,0.56,0.56,180.0,195.0,0.11,3.38,,0.31440496,187.0,0.30559093,0.39731526,0.00057193,8.50957641,-48.75821365,0.56,14457.79202824
2023-09-04,15,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,360.0,390.0,11.18,3.0,,0.32613218,374.0,0.30851513,-0.60163694,0.00056691,8.51556322,-49.25941322,0.03,774.52457294
2023-09-04,16,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,195.0,195.0,0.56,0.56,205.0,225.0,0.11,11.95,,0.32851994,214.0,0.31689852,0.42750766,0.00056446,8.60524159,-51.94240648,0.56,14481.33475765
2023-09-04,16,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,340.0,365.0,11.66,2.5,,0.33234477,352.0,0.31781971,-0.57225394,0.00056289,8.60619547,-52.09917193,0.03,775.78579059
2023-09-04,17,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,195.0,195.0,0.56,0.56,220.0,240.0,0.1,11.54,,0.32553971,229.0,0.31395525,0.45192936,0.00057875,8.63223011,-52.45397027,0.56,14508.14241882
2023-09-04,17,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,310.0,330.0,12.08,3.0,,0.32339215,319.0,0.3118059,-0.54847223,0.00058267,8.6311684,-52.08846208,0.03,777.22191529
2023-09-04,18,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,195.0,195.0,0.56,0.56,220.0,240.0,2.5,11.48,,0.32397747,229.0,0.31231523,0.45580219,0.00058703,8.57466281,-52.68168302,0.56,14512.66926118
2023-09-04,18,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,305.0,325.0,2.41,3.0,,0.32523751,314.0,0.31357586,-0.54397922,0.0005847,8.5751863,-52.89755816,0.03,777.46442471
2023-09-04,19,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,195.0,195.0,0.56,0.56,195.0,220.0,14.22,15.81,,0.3150028,207.0,0.30021012,0.4393756,0.00061293,8.45034322,-50.73733587,0.56,14500.45493647
2023-09-04,19,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,305.0,330.0,11.9,3.0,,0.31931162,317.0,0.3045246,-0.55963213,0.00060448,8.45356038,-51.48610359,0.03,776.81008588
2023-09-04,20,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,195.0,195.0,0.56,0.56,170.0,195.0,17.32,16.32,,0.31717956,182.0,0.30195743,0.40394286,0.00060496,8.21238845,-50.43620388,0.56,14468.67836235
2023-09-04,20,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,345.0,345.0,345.0,0.03,0.03,340.0,360.0,11.29,2.5,,0.31823635,349.0,0.30606925,-0.59466148,0.00059735,8.21953064,-51.16746662,0.03,775.10776941
2023-09-04,21,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,155.0,155.0,0.57,0.57,125.0,140.0,0.12,16.42,,0.32396376,132.0,0.31387717,0.31643164,0.00054275,7.43624304,-48.29080774,0.57,14636.75847882
2023-09-04,21,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,380.0,0.06,0.06,445.0,480.0,9.85,2.37,,0.34561992,462.0,0.32221735,-0.67891471,0.00053196,7.48205438,-49.87936868,0.03,770.35570941
2023-09-04,22,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,155.0,155.0,0.57,0.57,145.0,160.0,12.33,4.83,,0.3079772,152.0,0.29837251,0.3641614,0.00060541,7.80931277,-49.05416578,0.57,14694.8835247
2023-09-04,22,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,380.0,0.06,0.06,375.0,395.0,8.24,2.5,,0.32206059,384.0,0.30931145,-0.63088801,0.00058662,7.84439039,-51.08100924,0.03,773.41492235
2023-09-04,23,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,155.0,155.0,0.57,0.57,160.0,170.0,2.73,2.77,,0.29906213,164.0,0.29275954,0.39180974,0.0006355,7.93306899,-49.76721621,0.57,14716.07806941
2023-09-04,23,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,340.0,355.0,1.57,1.56,,0.31330287,347.0,0.3038761,-0.60398944,0.00061406,7.95641563,-51.80898372,0.76,19621.43742588
2023-09-05,0,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,130.0,130.0,1.86,1.86,135.0,140.0,2.37,3.1,,0.29117525,137.0,0.28787434,0.35141149,0.00063109,7.57382355,-47.57014801,1.86,47927.43271059
2023-09-05,0,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,370.0,380.0,1.48,1.48,,0.30170918,374.0,0.2951318,-0.64489085,0.00061788,7.60225137,-48.9524688,0.76,19583.2520753
2023-09-05,1,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,130.0,145.0,1.87,1.87,130.0,140.0,2.8,3.14,,0.300228,134.0,0.29351234,0.34445182,0.00062042,7.44567471,-48.56413775,1.86,47896.92586587
2023-09-05,1,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,375.0,390.0,1.46,1.47,,0.30609608,382.0,0.2960366,-0.65421758,0.00061601,7.45639768,-49.05233933,0.76,19570.78691294
2023-09-05,2,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,130.0,145.0,1.87,1.87,100.0,110.0,16.93,3.45,,0.29916167,104.0,0.29185206,0.29054518,0.00058793,6.84072998,-45.20310912,1.86,47759.74447912
2023-09-05,2,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,430.0,460.0,7.01,2.44,,0.32741308,444.0,0.30577838,-0.70041809,0.00056912,6.93792398,-48.03296756,0.76,19514.7343033
2023-09-05,3,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,90.0,90.0,2.37,2.37,110.0,120.0,13.99,3.26,,0.30753195,114.0,0.30033261,0.30625112,0.00059031,6.94575347,-48.13904064,1.86,47789.58071868
2023-09-05,3,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,420.0,455.0,2.41,9.68,,0.3430748,437.0,0.31822979,-0.68320463,0.00056534,7.0483435,-51.76109819,0.76,19526.92545494
2023-09-05,4,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,90.0,120.0,2.38,2.38,110.0,120.0,3.77,5.08,,0.30710697,114.0,0.29986531,0.30869626,0.00059891,6.90479972,-48.71761409,1.86,47792.15835165
2023-09-05,4,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,415.0,450.0,9.65,2.44,,0.34654617,432.0,0.32161415,-0.67873497,0.00056802,7.02353905,-53.14958146,0.76,19527.97868132
2023-09-05,5,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,90.0,120.0,2.38,2.38,120.0,125.0,12.33,2.91,,0.30151665,122.0,0.2979517,0.32677692,0.00062275,7.01254469,-50.14531178,1.86,47857.65842117
2023-09-05,5,BTC-230907-26000-P,BTCUSDT,P,230907-26000,345.0,380.0,345.0,345.0,0.79,0.79,390.0,420.0,7.59,2.44,,0.33964515,404.0,0.31852722,-0.66214843,0.00059027,7.1058866,-54.32173783,0.76,19554.74215059
2023-09-05,6,BTC-230907-26000-C,BTCUSDT,C,230907-26000,290.0,290.0,90.0,120.0,2.38,2.38,110.0,115.0,12.33,5.98,,0.30907273,112.0,0.3053543,0.30424701,0.00059636,6.72300245,-50.27476041,1.86,47803.4313247
