date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-10-12,8,BTC-231103-28000-C,BTCUSDT,C,231103-28000,0.0,0.0,0.0,0.0,0.0,0.0,365.0,390.0,4.92,2.5,,0.32064319,377.4,0.31516701,0.29912653,0.00016759,22.82683831,-16.38162258,0.0,0.0,2023-10-12 08:00:00+00:00,28000,26802.8
2023-10-12,9,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,345.0,365.0,2.5,1.73,,0.3187269,354.9,0.31424642,0.28708186,0.00016548,22.31832981,-16.00026947,15.0,400744.9730769,2023-10-12 09:00:00+00:00,28000,26742.3
2023-10-12,10,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,360.0,380.0,5.18,1.69,,0.32306671,369.9,0.31862915,0.29319536,0.00016486,22.5353446,-16.41237439,15.0,401400.78791205,2023-10-12 10:00:00+00:00,28000,26754.79
2023-10-12,11,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,380.0,400.0,4.02,5.03,,0.32129109,389.9,0.31694502,0.30554223,0.00016851,23.0092954,-16.70078849,15.0,402555.66428565,2023-10-12 11:00:00+00:00,28000,26837.84
2023-10-12,12,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,360.0,380.0,5.08,4.64,,0.31397641,369.9,0.30958295,0.29908465,0.00017109,22.76115519,-16.16778997,15.0,402372.7467033,2023-10-12 12:00:00+00:00,28000,26829.99
2023-10-12,13,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,350.0,365.0,4.62,3.51,,0.31627357,357.4,0.31292021,0.29003953,0.00016745,22.36453324,-16.08807075,15.0,401230.5362637,2023-10-12 13:00:00+00:00,28000,26761.6
2023-10-12,14,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,330.0,350.0,5.44,3.04,,0.31822503,339.9,0.31365871,0.27956627,0.00016471,21.90114358,-15.82222082,15.0,400382.72472525,2023-10-12 14:00:00+00:00,28000,26701.94
2023-10-12,15,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,325.0,340.0,5.4,1.85,,0.31732142,332.4,0.31386346,0.27518982,0.00016365,21.69063297,-15.71052322,15.0,400148.85824175,2023-10-12 15:00:00+00:00,28000,26675.0
2023-10-12,16,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,320.0,335.0,5.27,2.2,,0.31516016,327.4,0.31168938,0.27362142,0.00016448,21.60977613,-15.57348913,15.0,400171.25439555,2023-10-12 16:00:00+00:00,28000,26673.36
2023-10-12,17,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,295.0,305.0,4.17,1.9,,0.30540943,299.9,0.30303866,0.261792,0.0001658,21.08859711,-14.80461014,15.0,399709.3434066,2023-10-12 17:00:00+00:00,28000,26641.9
2023-10-12,18,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,295.0,310.0,5.82,4.74,,0.30605733,302.4,0.30251354,0.26383637,0.00016681,21.16495085,-14.86115457,15.0,399875.70824175,2023-10-12 18:00:00+00:00,28000,26658.06
2023-10-12,19,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,310.0,325.0,5.59,4.74,,0.30631483,317.4,0.3028366,0.27321147,0.0001694,21.56381285,-15.18676322,15.0,400754.6703297,2023-10-12 19:00:00+00:00,28000,26712.9
2023-10-12,20,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,310.0,330.0,5.21,4.76,,0.3050667,319.9,0.30045629,0.27635745,0.00017168,21.68924591,-15.1844662,15.0,401066.94890115,2023-10-12 20:00:00+00:00,28000,26745.0
2023-10-12,21,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,310.0,320.0,4.0,4.74,,0.29887855,314.9,0.29657006,0.275788,0.00017383,21.65819226,-14.99572287,15.0,401367.8934066,2023-10-12 21:00:00+00:00,28000,26759.28
2023-10-12,22,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,295.0,310.0,5.63,1.42,,0.29502809,302.4,0.29153138,0.27106894,0.00017552,21.44997895,-14.62769278,15.0,401261.367033,2023-10-12 22:00:00+00:00,28000,26755.05
2023-10-12,23,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,290.0,310.0,5.61,1.99,,0.29455602,299.9,0.28988659,0.27062553,0.0001765,21.41634158,-14.5507194,15.0,401437.10769225,2023-10-12 23:00:00+00:00,28000,26759.63
2023-10-13,0,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,310.0,325.0,5.34,6.61,,0.29289126,317.4,0.28946668,0.2823695,0.00018019,21.90198327,-14.88819785,15.0,402350.55494505,2023-10-13 00:00:00+00:00,28000,26829.56
2023-10-13,1,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,305.0,320.0,3.98,4.34,,0.29546857,312.4,0.29200882,0.27773974,0.00017761,21.67725044,-14.89398779,15.0,401913.6362637,2023-10-13 01:00:00+00:00,28000,26793.56
2023-10-13,2,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,320.0,330.0,4.69,1.07,,0.29840827,324.9,0.29612273,0.28323988,0.00017689,21.87467972,-15.27132338,15.0,402132.5307693,2023-10-13 02:00:00+00:00,28000,26809.2
2023-10-13,3,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,325.0,340.0,4.55,3.88,,0.3067857,332.4,0.30335218,0.28355811,0.00017311,21.84288151,-15.65216229,15.0,401690.07531645,2023-10-13 03:00:00+00:00,28000,26781.69
2023-10-13,4,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,335.0,345.0,2.8,3.02,,0.30630827,339.9,0.30403525,0.28788302,0.00017399,21.99822689,-15.83013649,15.0,402050.4626373,2023-10-13 04:00:00+00:00,28000,26805.52
2023-10-13,5,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,360.0,380.0,2.68,5.0,,0.32016277,369.9,0.31569093,0.29850122,0.00017047,22.36238591,-16.74213115,15.0,402331.80164835,2023-10-13 05:00:00+00:00,28000,26821.92
2023-10-13,6,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,355.0,375.0,5.0,3.37,,0.3200841,364.9,0.31558752,0.29588976,0.00017009,22.23935513,-16.67752654,15.0,402118.6203297,2023-10-13 06:00:00+00:00,28000,26808.17
2023-10-13,7,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,360.0,375.0,4.91,1.72,,0.31142116,367.4,0.30808598,0.30220232,0.00017565,22.48720593,-16.49521194,15.0,403013.29120875,2023-10-13 07:00:00+00:00,28000,26875.0
2023-10-13,8,BTC-231103-28000-C,BTCUSDT,C,231103-28000,390.0,390.0,385.0,385.0,15.0,15.0,345.0,355.0,3.57,2.59,,0.31306326,349.9,0.31078994,0.29045684,0.00017165,21.99697523,-16.30958624,15.0,401966.7461538,2023-10-13 08:00:00+00:00,28000,26796.02
2023-10-13,9,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,355.0,355.0,5.0,5.0,335.0,340.0,1.5,3.81,,0.31406939,337.4,0.31291336,0.28194171,0.00016862,21.62024715,-16.17193721,20.0,535071.3208792,2023-10-13 09:00:00+00:00,28000,26738.05
2023-10-13,10,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,355.0,355.0,5.0,5.0,335.0,340.0,1.5,4.94,,0.30939043,337.4,0.30824065,0.28491703,0.00017196,21.73860585,-16.04962474,20.0,535557.5978022,2023-10-13 10:00:00+00:00,28000,26778.48
2023-10-13,11,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,355.0,355.0,5.0,5.0,350.0,355.0,1.35,2.93,,0.3110075,352.4,0.30987322,0.29306785,0.00017325,22.04142352,-16.39210358,20.0,536409.6153846,2023-10-13 11:00:00+00:00,28000,26820.92
2023-10-13,12,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,355.0,355.0,5.0,5.0,385.0,395.0,3.52,4.09,,0.31434178,389.9,0.31214714,0.31346926,0.0001767,22.78439499,-17.10319788,20.0,538461.443956,2023-10-13 12:00:00+00:00,28000,26932.63
2023-10-13,13,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,355.0,355.0,5.0,5.0,365.0,375.0,1.5,2.04,,0.31586468,369.9,0.31362355,0.30133726,0.00017348,22.30840305,-16.85888338,20.0,537293.4681318,2023-10-13 13:00:00+00:00,28000,26855.63
2023-10-13,14,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,315.0,330.0,5.42,16.66,,0.30895948,322.4,0.30545205,0.27815375,0.00017237,21.3841539,-15.77101803,8.07,215838.54214943,2023-10-13 14:00:00+00:00,28000,26757.09
2023-10-13,15,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,295.0,315.0,5.52,19.16,,0.30834854,304.9,0.3035754,0.26844473,0.00017088,20.95295128,-15.38902483,8.07,215524.06755162,2023-10-13 15:00:00+00:00,28000,26706.83
2023-10-13,16,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,310.0,330.0,5.31,3.04,,0.30460894,319.9,0.29994696,0.28029869,0.00017629,21.45126116,-15.59815041,8.07,216242.74627913,2023-10-13 16:00:00+00:00,28000,26796.73
2023-10-13,17,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,310.0,325.0,5.45,17.49,,0.30600965,317.4,0.30248821,0.27737047,0.00017427,21.29960051,-15.65070695,8.07,216042.49676707,2023-10-13 17:00:00+00:00,28000,26768.26
2023-10-13,18,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,305.0,315.0,5.33,1.18,,0.30410409,309.9,0.3017351,0.27327301,0.00017373,21.10771431,-15.50247814,8.07,215834.072611,2023-10-13 18:00:00+00:00,28000,26749.05
2023-10-13,19,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,305.0,320.0,5.22,1.64,,0.30271053,312.4,0.29917896,0.27658754,0.00017623,21.23659554,-15.49643643,8.07,216120.50262856,2023-10-13 19:00:00+00:00,28000,26778.57
2023-10-13,20,BTC-231103-28000-C,BTCUSDT,C,231103-28000,385.0,385.0,335.0,335.0,20.0,20.0,360.0,390.0,16.66,4.8,,0.30809641,374.9,0.30147105,0.31351055,0.00018412,22.64202814,-16.68247391,8.07,217550.67074121,2023-10-13 20:00:00+00:00,28000,26981.36
