date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-06-01,0,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,7100.0,8480.0,5.24,1.5,,0.75252056,7643.0,0.52626028,0.87536177,2.513e-05,31.91719796,-6.98167661,1.51,40851.43825477,2023-06-01 00:00:00+00:00,20000,27065.77
2023-06-01,1,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,7100.0,8480.0,5.24,1.5,,0.74912071,7652.0,0.52456036,0.87639609,2.505e-05,31.74665806,-6.9243389,1.51,40899.12800953,2023-06-01 01:00:00+00:00,20000,27078.56
2023-06-01,2,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,6745.0,8235.0,4.12,4.46,,0.76145649,7357.0,0.53072824,0.86503761,2.667e-05,33.28520596,-7.34782554,1.51,40341.92362858,2023-06-01 02:00:00+00:00,20000,26719.26
2023-06-01,3,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,6740.0,8085.0,3.85,1.5,,0.71247578,7331.0,0.50623789,0.87500185,2.646e-05,31.63187179,-6.66293361,1.51,40439.32905477,2023-06-01 03:00:00+00:00,20000,26779.94
2023-06-01,4,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,6725.0,8085.0,4.63,1.5,,0.70742607,7345.0,0.50371304,0.87658505,2.634e-05,31.37519325,-6.57818618,1.51,40479.89844047,2023-06-01 04:00:00+00:00,20000,26804.15
2023-06-01,5,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,6890.0,8095.0,2.89,1.5,,0.70108414,7373.0,0.50054207,0.87887595,2.612e-05,31.01000476,-6.46293287,1.51,40536.15277142,2023-06-01 05:00:00+00:00,20000,26849.2
2023-06-01,6,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,7195.0,7890.0,2.34,1.5,,0.66252232,7516.0,0.56111097,0.8573977,2.615e-05,34.61923638,-8.09103709,1.51,40445.01240714,2023-06-01 06:00:00+00:00,20000,26785.13
2023-06-01,7,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,7150.0,7995.0,2.21,4.15,,0.68569183,7533.0,0.5616045,0.85775172,2.607e-05,34.57844177,-8.09141943,1.51,40478.31078333,2023-06-01 07:00:00+00:00,20000,26802.67
2023-06-01,8,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1e-08,9641.0,1.05,0.78645958,1.796e-05,44.90380267,-19.65223357,1.51,40637.31428667,2023-06-01 08:00:00+00:00,20000,26912.53
2023-06-01,9,BTC-230929-20000-C,BTCUSDT,C,230929-20000,7740.0,7740.0,7740.0,7740.0,0.0,0.0,7260.0,7945.0,1.5,1.5,,0.65040112,7573.0,0.54688454,0.86504803,2.573e-05,33.47911255,-7.63413708,1.51,40630.27835778,2023-06-01 09:00:00+00:00,20000,26908.63
