date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-05-18,8,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,150.0,195.0,5.57,4.81,,0.51365077,171.0,0.49605012,0.11189682,5.711e-05,12.7899038,-14.44651984,0.0,0.0,2023-05-18 08:00:00+00:00,32000,
2023-05-18,9,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,150.0,180.0,5.57,2.71,,0.50180614,164.0,0.4898572,0.10913254,5.684e-05,12.55601379,-14.03190221,0.0,0.0,2023-05-18 09:00:00+00:00,32000,
2023-05-18,10,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,150.0,180.0,5.57,2.71,,0.50736845,164.0,0.49532831,0.1084482,5.613e-05,12.46125255,-14.10836084,0.0,0.0,2023-05-18 10:00:00+00:00,32000,
2023-05-18,11,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,160.0,180.0,5.43,2.71,,0.50336599,169.0,0.49548835,0.11115807,5.706e-05,12.69537992,-14.40551785,0.0,0.0,2023-05-18 11:00:00+00:00,32000,
2023-05-18,12,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,145.0,165.0,2.63,2.47,,0.50656021,154.0,0.49818277,0.10306681,5.412e-05,11.93774331,-13.64552561,0.0,0.0,2023-05-18 12:00:00+00:00,32000,
2023-05-18,13,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,130.0,165.0,3.91,2.47,,0.50457299,147.0,0.48958957,0.10005584,5.389e-05,11.68370303,-13.14992212,0.0,0.0,2023-05-18 13:00:00+00:00,32000,
2023-05-18,14,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,135.0,165.0,4.45,5.93,,0.50686896,149.0,0.49408913,0.10095706,5.384e-05,11.74018609,-13.36052637,0.0,0.0,2023-05-18 14:00:00+00:00,32000,
2023-05-18,15,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,115.0,150.0,7.16,6.95,,0.50845146,131.0,0.49232751,0.09161443,5.065e-05,10.85762173,-12.33577622,0.0,0.0,2023-05-18 15:00:00+00:00,32000,
2023-05-18,16,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,115.0,140.0,2.45,4.05,,0.50120175,127.0,0.48945487,0.08935744,5.009e-05,10.64315982,-12.04471857,0.0,0.0,2023-05-18 16:00:00+00:00,32000,
2023-05-18,17,BTC-230609-32000-C,BTCUSDT,C,230609-32000,0.0,0.0,0.0,0.0,0.0,0.0,85.0,115.0,2.45,2.48,,0.52710474,99.0,0.51003337,0.07151638,4.156e-05,8.78937946,-10.38503726,0.0,0.0,2023-05-18 17:00:00+00:00,32000,
