date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-09-21,8,BTC-230924-26750-P,BTCUSDT,P,230924-26750,0.0,0.0,0.0,0.0,0.0,0.0,170.0,215.0,5.87,2.26,,0.30563951,192.0,0.28149575,-0.39312844,0.00056354,9.32156587,-44.34880411,0.0,0.0,2023-09-21 08:00:00+00:00,26750,26926.74
2023-09-21,9,BTC-230924-26750-P,BTCUSDT,P,230924-26750,0.0,0.0,0.0,0.0,0.0,0.0,280.0,295.0,2.98,2.99,,0.30836463,287.0,0.30050159,-0.49558407,0.00055519,9.53844367,-49.13667545,0.0,0.0,2023-09-21 09:00:00+00:00,26750,26747.3
2023-09-21,10,BTC-230924-26750-P,BTCUSDT,P,230924-26750,0.0,0.0,0.0,0.0,0.0,0.0,290.0,355.0,2.42,9.68,,0.31648159,322.0,0.28165519,-0.55803643,0.00059264,9.33379738,-45.72003326,0.0,0.0,2023-09-21 10:00:00+00:00,26750,26649.89
2023-09-21,11,BTC-230924-26750-P,BTCUSDT,P,230924-26750,0.0,0.0,0.0,0.0,0.0,0.0,280.0,300.0,2.94,2.92,,0.31487823,290.0,0.30425161,-0.4986914,0.00055587,9.41044504,-50.41114636,0.0,0.0,2023-09-21 11:00:00+00:00,26750,26730.78
2023-09-21,13,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,295.0,295.0,295.0,0.1,0.1,420.0,555.0,5.28,12.8,,0.40223598,485.0,0.32103539,-0.66426864,0.00049517,8.36352142,-48.81772766,0.1,2641.32969231,2023-09-21 13:00:00+00:00,26750,26419.86
2023-09-21,14,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,365.0,295.0,355.0,0.2,0.2,350.0,370.0,2.49,2.49,,0.30251443,359.0,0.29124528,-0.59500193,0.0005812,8.87422513,-47.71504898,0.08,2126.45556044,2023-09-21 14:00:00+00:00,26750,26582.5
2023-09-21,15,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,365.0,295.0,355.0,0.2,0.2,310.0,390.0,2.47,2.47,,0.32950044,349.0,0.28399646,-0.5966004,0.0006,8.79790662,-46.84806592,0.08,2127.39521758,2023-09-21 15:00:00+00:00,26750,26584.02
2023-09-21,16,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,365.0,295.0,355.0,0.2,0.2,340.0,365.0,2.46,11.3,,0.3027761,352.0,0.28845429,-0.59656456,0.00059544,8.72867951,-47.95836164,0.08,2127.12698901,2023-09-21 16:00:00+00:00,26750,26583.82
2023-09-21,17,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,365.0,295.0,315.0,0.23,0.23,295.0,320.0,2.64,9.51,,0.29958785,307.0,0.28547615,-0.55564447,0.00061717,8.85812156,-48.94395662,0.11,2932.36938681,2023-09-21 17:00:00+00:00,26750,26651.55
2023-09-21,18,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,365.0,295.0,315.0,0.23,0.23,305.0,365.0,2.5,2.5,,0.32599032,334.0,0.29140204,-0.58078185,0.00060386,8.67638123,-49.73712183,0.11,2928.34098132,2023-09-21 18:00:00+00:00,26750,26606.44
2023-09-21,19,BTC-230924-26750-P,BTCUSDT,P,230924-26750,295.0,365.0,295.0,315.0,0.23,0.23,300.0,365.0,2.49,2.46,,0.32248616,332.0,0.28450251,-0.58949429,0.00062086,8.56070457,-48.71061261,0.11,2928.41537033,2023-09-21 19:00:00+00:00,26750,26599.95
