date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-05-22,8,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,265.0,300.0,5.83,4.34,,0.39314747,282.0,0.37471056,0.43130307,0.00043426,9.49217939,-60.11502995,0.0,0.0,2023-05-22 08:00:00+00:00,27000,
2023-05-22,9,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,280.0,320.0,5.44,2.5,,0.40050626,299.0,0.37944287,0.447076,0.00043398,9.49551606,-61.76532472,0.0,0.0,2023-05-22 09:00:00+00:00,27000,
2023-05-22,10,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,270.0,305.0,4.96,2.5,,0.40182352,287.0,0.3831473,0.43409138,0.00043125,9.37052111,-62.43957219,0.0,0.0,2023-05-22 10:00:00+00:00,27000,
2023-05-22,11,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,255.0,285.0,8.78,5.34,,0.38581133,269.0,0.36964029,0.42819102,0.0004492,9.27629428,-60.5096137,0.0,0.0,2023-05-22 11:00:00+00:00,27000,
2023-05-22,12,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,230.0,260.0,3.44,2.5,,0.40380239,244.0,0.38709313,0.39116201,0.00042431,8.97785668,-62.24332309,0.0,0.0,2023-05-22 12:00:00+00:00,27000,
2023-05-22,13,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,360.0,395.0,2.04,2.5,,0.41787267,377.0,0.39915502,0.5105327,0.00042618,9.34931747,-67.85111455,0.0,0.0,2023-05-22 13:00:00+00:00,27000,
2023-05-22,14,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,335.0,380.0,2.48,2.3,,0.43713331,357.0,0.41282177,0.48571504,0.00041603,9.25493015,-70.53452891,0.0,0.0,2023-05-22 14:00:00+00:00,27000,
2023-05-22,15,BTC-230525-27000-C,BTCUSDT,C,230525-27000,0.0,0.0,0.0,0.0,0.0,0.0,295.0,325.0,5.88,2.4,,0.41703641,309.0,0.4005602,0.454011,0.00043064,9.10419939,-68.37682692,0.0,0.0,2023-05-22 15:00:00+00:00,27000,
2023-05-22,16,BTC-230525-27000-C,BTCUSDT,C,230525-27000,310.0,310.0,310.0,310.0,0.1,0.1,280.0,315.0,2.48,2.5,,0.42018533,294.0,0.39794981,0.44362409,0.00043577,8.99502035,-68.18192188,0.1,2684.73178571,2023-05-22 16:00:00+00:00,27000,
2023-05-22,17,BTC-230525-27000-C,BTCUSDT,C,230525-27000,310.0,310.0,310.0,310.0,0.1,0.1,280.0,305.0,3.12,2.4,,0.41528225,292.0,0.40125757,0.44109203,0.00043534,8.91310653,-69.22133195,0.1,2684.58952381,2023-05-22 17:00:00+00:00,27000,
2023-05-22,18,BTC-230525-27000-C,BTCUSDT,C,230525-27000,310.0,310.0,310.0,310.0,0.1,0.1,280.0,310.0,4.71,5.04,,0.4092133,294.0,0.39232939,0.45226344,0.00045009,8.88434636,-68.56867593,0.1,2687.51754762,2023-05-22 18:00:00+00:00,27000,
2023-05-22,19,BTC-230525-27000-C,BTCUSDT,C,230525-27000,310.0,310.0,310.0,310.0,0.1,0.1,260.0,295.0,4.62,2.4,,0.40607452,277.0,0.38612366,0.44132034,0.00045976,8.77194211,-67.74077378,0.1,2684.71633333,2023-05-22 19:00:00+00:00,27000,
