date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-05-18,8,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,1605.0,4.82,2.17,,0.47229171,1527.0,0.44306278,-0.55843732,0.00013257,26.51709755,-26.75233281,0.0,0.0,2023-05-18 08:00:00+00:00,28000,
2023-05-18,9,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1465.0,1635.0,4.98,4.0,,0.48644066,1549.0,0.45441151,-0.55448841,0.00012951,26.54085134,-27.5143617,0.0,0.0,2023-05-18 09:00:00+00:00,28000,
2023-05-18,10,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,1530.0,2.44,2.41,,0.43511629,1509.0,0.42751551,-0.568575,0.00013732,26.3139052,-25.71336358,0.0,0.0,2023-05-18 10:00:00+00:00,28000,
2023-05-18,11,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1455.0,1495.0,2.44,2.41,,0.43309391,1474.0,0.42552024,-0.56218587,0.00013821,26.4080577,-25.73394762,0.0,0.0,2023-05-18 11:00:00+00:00,28000,
2023-05-18,12,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,1595.0,2.44,2.41,,0.4355216,1569.0,0.42588413,-0.58506252,0.00013756,25.94062678,-25.34844055,0.0,0.0,2023-05-18 12:00:00+00:00,28000,
2023-05-18,13,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,1655.0,5.8,2.6,,0.46524167,1574.0,0.43449998,-0.57887822,0.00013527,26.02791541,-25.99798318,0.0,0.0,2023-05-18 13:00:00+00:00,28000,
2023-05-18,14,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1535.0,1595.0,2.42,2.47,,0.4380548,1564.0,0.42647719,-0.58408491,0.00013767,25.91205474,-25.45311593,0.0,0.0,2023-05-18 14:00:00+00:00,28000,
2023-05-18,15,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,1675.0,2.42,2.47,,0.43325305,1647.0,0.42241156,-0.60724039,0.00013793,25.36724331,-24.72787182,0.0,0.0,2023-05-18 15:00:00+00:00,28000,
2023-05-18,16,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1610.0,1675.0,2.42,2.47,,0.43065071,1642.0,0.41778743,-0.61073778,0.0001393,25.26723356,-24.4076794,0.0,0.0,2023-05-18 16:00:00+00:00,28000,
2023-05-18,17,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,2070.0,2.42,2.47,,0.43718219,2044.0,0.42622626,-0.68673288,0.00012913,22.82055755,-22.53293198,0.0,0.0,2023-05-18 17:00:00+00:00,28000,
2023-05-18,18,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,1980.0,2.42,1.5,,0.43873787,1949.0,0.42593956,-0.66910049,0.00013163,23.443825,-23.17750508,0.0,0.0,2023-05-18 18:00:00+00:00,28000,
2023-05-18,19,BTC-230609-28000-P,BTCUSDT,P,230609-28000,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,1900.0,2.42,3.97,,0.44063807,1869.0,0.42814076,-0.6514227,0.00013308,24.00753313,-23.90371613,0.0,0.0,2023-05-18 19:00:00+00:00,28000,
