date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-06-18,8,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.84652901,1576.0,0.5232645,-0.87386107,0.00016594,4.94241171,-43.71005897,0.0,0.0,2023-06-18 08:00:00+00:00,28000,26499.32
2023-06-18,9,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.87917328,1559.0,0.53958664,-0.86343723,0.00017103,5.18936144,-48.0016969,0.0,0.0,2023-06-18 09:00:00+00:00,28000,26527.34
2023-06-18,10,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.86621284,1570.0,0.53310642,-0.87154527,0.00016728,4.93574141,-45.76112791,0.0,0.0,2023-06-18 10:00:00+00:00,28000,26508.0
2023-06-18,11,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.86518764,1575.0,0.53259382,-0.87479576,0.00016573,4.81186823,-45.22519099,0.0,0.0,2023-06-18 11:00:00+00:00,28000,26500.0
2023-06-18,12,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.90618134,1553.0,0.55309067,-0.86141406,0.00017222,5.12964889,-50.81461194,0.0,0.0,2023-06-18 12:00:00+00:00,28000,26534.97
2023-06-18,13,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.86539268,1582.0,0.53269634,-0.8804203,0.00016292,4.5879813,-44.43600515,0.0,0.0,2023-06-18 13:00:00+00:00,28000,26486.0
2023-06-18,14,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.93377113,1544.0,0.56688557,-0.85660461,0.00017449,5.17350825,-54.14353148,0.0,0.0,2023-06-18 14:00:00+00:00,28000,26549.99
2023-06-18,15,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,0.95256329,1536.0,0.57628164,-0.85233655,0.00017635,5.23815167,-56.59945403,0.0,0.0,2023-06-18 15:00:00+00:00,28000,26562.09
2023-06-18,16,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,1.01474285,1502.0,0.60737143,-0.83051248,0.00018421,5.70143132,-65.95916063,0.0,0.0,2023-06-18 16:00:00+00:00,28000,26620.12
2023-06-18,17,BTC-230621-28000-P,BTCUSDT,P,230621-28000,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1785.0,2.7,2.7,,1.03312492,1495.0,0.61656246,-0.82665479,0.00018549,5.74035421,-68.50202069,0.0,0.0,2023-06-18 17:00:00+00:00,28000,26630.0
