date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-09-02,13,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,460.0,510.0,5.92,1.5,,0.2689445,483.0,0.23009121,-0.78880438,0.00056058,6.4825748,-27.119586,0.01,258.28326588
2023-09-02,16,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,435.0,480.0,9.14,1.5,,0.26895165,456.0,0.23503959,-0.76956406,0.00058967,6.6666765,-29.8462098,0.01,258.62302353
2023-09-02,8,BTC-230905-26250-P,BTCUSDT,P,230905-26250,0.0,0.0,0.0,0.0,0.0,0.0,490.0,540.0,1.5,1.5,,0.25375605,512.0,0.21153092,-0.82444103,0.00052605,5.99565127,-21.43539194,0.0,0.0
2023-09-02,21,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,435.0,480.0,6.02,1.5,,0.27645111,456.0,0.24052501,-0.7758803,0.0005913,6.29639614,-31.33310636,0.01,258.56443765
2023-09-02,17,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,475.0,520.0,9.36,1.5,,0.27888775,496.0,0.24271548,-0.79015605,0.00054649,6.25653114,-29.3912931,0.01,258.24103765
2023-09-02,23,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,430.0,470.0,8.24,1.5,,0.27887583,449.0,0.24714589,-0.76696813,0.00059835,6.32664657,-33.50564888,0.01,258.66082235
2023-09-02,10,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,455.0,505.0,1.5,1.5,,0.262115,478.0,0.22440016,-0.78622537,0.00056604,6.67692361,-26.05733414,0.01,258.35533294
2023-09-02,15,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,405.0,450.0,7.17,1.5,,0.2602613,426.0,0.22786975,-0.75390489,0.00062476,6.97509765,-29.80137847,0.01,259.00908824
2023-09-02,20,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,445.0,490.0,6.07,1.5,,0.2789557,466.0,0.24327338,-0.77649642,0.00057894,6.33831214,-31.36139679,0.01,258.45628118
2023-09-02,12,BTC-230905-26250-P,BTCUSDT,P,230905-26250,525.0,525.0,525.0,525.0,0.01,0.01,485.0,535.0,8.85,1.5,,0.28310418,508.0,0.24531603,-0.78161946,0.00053246,6.65509275,-29.24049234,0.01,258.03823014
