date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-09-01,22,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,10.0,10.0,57.14,57.14,10.0,15.0,0.5,0.6,,0.6286782,12.0,0.60245633,-0.057675,0.00023209,0.95382057,-76.61566748,33.33,859150.18227175
2023-09-01,18,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,15.0,30.0,39.43,39.43,30.0,40.0,2.5,8.0,,0.60272396,34.0,0.57775736,-0.12237935,0.00035528,2.00408106,-106.87826202,29.07,746036.37864009
2023-09-01,9,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,20.0,5.57,5.57,15.0,20.0,0.02,12.7,,0.53719342,17.0,0.52089989,-0.0590479,0.00017311,1.53469641,-43.60435083,4.51,117337.59906
2023-09-01,12,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,20.0,10.82,10.82,15.0,20.0,0.02,12.03,,0.59054494,17.0,0.57275981,-0.05789858,0.00016663,1.40598143,-50.85965566,9.76,254213.47371296
2023-09-01,11,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,20.0,9.82,9.82,20.0,25.0,1.0,13.0,,0.59947908,22.0,0.58436841,-0.06911981,0.00018283,1.65482992,-58.02101354,8.76,228244.64957649
2023-09-01,16,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,40.0,15.0,20.0,28.63,28.63,15.0,20.0,0.02,19.75,,0.53222954,17.0,0.51494122,-0.07087102,0.00024666,1.44656397,-59.59052926,26.98,696217.94141652
2023-09-01,7,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,25.0,5.23,5.23,20.0,30.0,6.02,10.5,,0.54978073,24.0,0.52416086,-0.07640636,0.00020134,1.9531699,-51.18816838,4.17,108379.65451412
2023-09-01,2,BTC-230902-25000-P,BTCUSDT,P,230902-25000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,2.5,12.05,,0.54559648,26.0,0.51101327,-0.07731945,0.0001891,2.1720557,-45.92849605,0.0,0.0
2023-09-01,5,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,15.0,1.06,1.06,15.0,30.0,11.53,11.53,,0.54240525,21.0,0.5024156,-0.06881864,0.00018602,1.8790641,-43.57204742,0.02,520.57470824
2023-09-01,10,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,20.0,5.82,5.82,15.0,20.0,10.0,8.64,,0.53648293,17.0,0.52007675,-0.06039428,0.00018086,1.5241913,-45.29634149,4.76,123754.2936
2023-09-01,8,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,20.0,5.34,5.34,20.0,25.0,3.33,4.55,,0.53231955,22.0,0.5186674,-0.07226461,0.00019928,1.8316088,-49.56439816,4.28,111187.29016471
2023-09-01,6,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,15.0,1.08,1.08,15.0,30.0,12.07,12.05,,0.54116786,21.0,0.50097197,-0.07023736,0.00019349,1.86956417,-44.95626462,0.02,519.81264235
2023-09-01,19,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,15.0,30.0,39.43,39.43,15.0,25.0,6.81,7.85,,0.54305255,19.0,0.50990522,-0.08761382,0.0003289,1.51073475,-77.03137006,29.07,745240.06583998
2023-09-01,15,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,40.0,15.0,20.0,26.79,26.79,15.0,20.0,9.69,4.13,,0.52714288,17.0,0.51015466,-0.06943791,0.00023709,1.47210599,-56.32415259,25.17,649809.4363905
2023-09-01,4,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,35.0,35.0,0.02,0.02,15.0,30.0,12.05,12.05,,0.53834736,21.0,0.49880862,-0.06809264,0.00018225,1.90043371,-42.1307985,0.02,520.86396962
2023-09-01,3,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,35.0,35.0,0.02,0.02,15.0,30.0,2.5,2.5,,0.54244697,21.0,0.50295115,-0.06647129,0.00017396,1.90232091,-41.00421372,0.02,521.62554684
2023-09-01,21,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,10.0,10.0,57.14,57.14,10.0,25.0,0.5,0.05,,0.70066273,16.0,0.63480079,-0.06780105,0.00023668,1.14230371,-87.01381857,33.33,860705.88943047
2023-09-01,1,BTC-230902-25000-P,BTCUSDT,P,230902-25000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,7.28,2.5,,0.51001668,27.0,0.47709912,-0.08100726,0.00020686,2.28220164,-43.55305264,0.0,0.0
2023-09-01,14,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,30.0,23.59,23.59,30.0,35.0,7.83,4.12,,0.54227471,32.0,0.53058267,-0.11059339,0.00031401,2.13860889,-80.09578353,22.53,579480.54043413
2023-09-01,17,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,15.0,65.0,36.31,36.31,55.0,60.0,6.61,3.13,,0.55156887,57.0,0.54245621,-0.18773115,0.0004875,2.74372687,-127.57046986,28.43,724139.46303887
2023-09-01,13,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,35.0,15.0,20.0,13.12,13.12,15.0,20.0,1.02,5.61,,0.57854235,17.0,0.56084037,-0.06048245,0.00018137,1.41262536,-52.81634013,12.06,313659.71349886
2023-09-01,23,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,5.0,5.0,57.71,57.71,5.0,10.0,0.97,9.96,,0.63541591,7.0,0.59708536,-0.03854403,0.00017956,0.65207055,-58.39923892,33.87,874040.19862592
2023-09-01,20,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,15.0,15.0,52.23,52.23,10.0,15.0,7.96,6.66,,0.57416856,12.0,0.55029511,-0.05717112,0.00022817,1.04762915,-62.88988854,36.22,933806.91007046
2023-09-02,0,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,5.0,5.0,57.71,57.71,0.0,10.0,0.0,2.96,,0.66861331,14.0,0.72180666,-0.06240678,0.00023343,0.89556991,-110.81188616,33.87,873614.64399184
2023-09-02,7,BTC-230902-25000-P,BTCUSDT,P,230902-25000,20.0,85.0,5.0,5.0,56.1,56.1,0.0,5.0,0.0,0.04,,9.9999994,1.0,1.0875,0.0,0.0,0.0,0.0,35.04,903873.68515754
2023-09-02,2,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,5.0,5.0,58.71,58.71,0.0,5.0,0.0,6.17,,0.67474663,7.0,0.72487332,-0.04083486,0.00019642,0.53935511,-93.8261779,34.87,898301.23639895
2023-09-02,5,BTC-230902-25000-P,BTCUSDT,P,230902-25000,30.0,85.0,5.0,5.0,60.27,60.27,0.0,20.0,0.0,0.1,,1.50105417,3.0,1.0875,-0.02413781,0.00013374,0.22142509,-144.45981005,35.04,904788.97118105
2023-09-02,8,BTC-230902-25000-P,BTCUSDT,P,230902-25000,20.0,85.0,5.0,5.0,56.1,56.1,0.0,5.0,0.0,0.04,,9.9999994,1.0,1.0875,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-02,6,BTC-230902-25000-P,BTCUSDT,P,230902-25000,25.0,85.0,5.0,5.0,60.25,60.25,0.0,20.0,0.0,0.1,,2.08658397,1.0,1.0875,-0.0032194,3.251e-05,0.02688094,-35.06988677,35.04,904107.28240947
2023-09-02,4,BTC-230902-25000-P,BTCUSDT,P,230902-25000,30.0,85.0,5.0,5.0,58.69,58.69,0.0,5.0,0.0,8.67,,0.88743627,3.0,0.83121814,-0.02261226,0.00013545,0.25626727,-85.19771081,34.87,898793.35465754
2023-09-02,3,BTC-230902-25000-P,BTCUSDT,P,230902-25000,30.0,85.0,5.0,5.0,58.69,58.69,0.0,5.0,0.0,8.67,,0.78478992,4.0,0.77989496,-0.02892197,0.00015351,0.36390237,-85.13577584,34.87,899748.64907544
2023-09-02,1,BTC-230902-25000-P,BTCUSDT,P,230902-25000,35.0,85.0,5.0,5.0,57.71,57.71,0.0,10.0,0.0,2.96,,0.7122159,12.0,0.74360795,-0.05699061,0.00022806,0.77178661,-114.7760183,33.87,873083.925
