date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-05-27,22,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,265.0,0.15,0.15,260.0,290.0,4.05,2.5,,0.3047663,287.0,0.30238315,0.53723293,0.00060755,8.58784616,-54.66962755,0.15,4020.24096429
2023-05-27,16,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,200.0,235.0,2.4,2.4,,0.30543387,232.0,0.30271693,0.45505058,0.00057911,8.96360452,-51.68424609,0.02,533.27794286
2023-05-27,9,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,265.0,265.0,0.01,0.01,230.0,260.0,6.43,4.9,,0.29844105,261.0,0.3,0.47738182,0.00055627,9.50640055,-48.88986598,0.01,266.99969048
2023-05-27,14,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,210.0,240.0,2.72,2.5,,0.3049022,237.0,0.3024511,0.45731831,0.00057094,9.11139847,-50.8749954,0.02,533.20759048
2023-05-27,19,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,265.0,270.0,0.05,7.16,,0.31681418,267.0,0.31398118,0.49391947,0.00057428,8.82448447,-55.41418356,0.02,534.60112381
2023-05-27,23,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,265.0,0.15,0.15,285.0,320.0,5.3,2.5,,0.30923009,316.0,0.30461504,0.56850217,0.00060094,8.439315,-55.08706208,0.15,4028.03567857
2023-05-27,20,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,265.0,270.0,0.13,5.0,,0.30790329,267.0,0.30504882,0.50539696,0.00059565,8.75749863,-54.33461849,0.02,534.95374286
2023-05-27,13,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,200.0,230.0,2.4,9.19,,0.31114101,224.0,0.30557051,0.43596875,0.0005576,9.10128151,-50.56493637,0.02,532.50435714
2023-05-27,10,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,265.0,265.0,0.01,0.01,210.0,240.0,3.75,4.9,,0.29117346,248.0,0.3,0.46389129,0.00055938,9.4063569,-49.07644712,0.01,266.70776667
2023-05-27,12,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,240.0,270.0,4.91,10.85,,0.30986071,265.0,0.30493035,0.48362315,0.00055958,9.31159275,-50.85448648,0.02,534.29552381
2023-05-27,8,BTC-230530-26750-C,BTCUSDT,C,230530-26750,0.0,0.0,0.0,0.0,0.0,0.0,240.0,265.0,5.4,4.9,,0.3069222,261.0,0.3034611,0.47209393,0.0005458,9.56213519,-49.04323433,0.0,0.0
2023-05-27,18,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,225.0,255.0,4.13,15.0,,0.31202435,249.0,0.30601218,0.47794053,0.00058415,8.876218,-53.43380518,0.02,534.48114286
2023-05-27,15,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,210.0,255.0,8.29,4.66,,0.31211853,249.0,0.30605927,0.47053891,0.00056983,9.07607291,-52.08382777,0.02,533.68060952
2023-05-27,17,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,260.0,0.02,0.02,250.0,280.0,5.7,2.5,,0.30986667,275.0,0.30493333,0.50719485,0.00058118,8.97771914,-52.9856818,0.02,535.23877143
2023-05-27,21,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,260.0,265.0,0.15,0.15,240.0,280.0,3.89,2.5,,0.31164229,274.0,0.30582114,0.51598058,0.00059842,8.68253966,-54.93706551,0.15,4015.1515
2023-05-27,11,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,265.0,265.0,265.0,0.01,0.01,230.0,255.0,2.42,2.5,,0.29794991,256.0,0.3,0.47635524,0.00056433,9.36787329,-49.59442071,0.01,266.98774722
2023-05-28,22,BTC-230530-26750-C,BTCUSDT,C,230530-26750,405.0,1200.0,405.0,1200.0,2.67,2.67,1175.0,1635.0,2.5,2.5,,1.17815018,1429.0,0.73907509,0.86441974,0.00017089,3.75435817,-100.8992451,2.66,74717.53990001
2023-05-28,16,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,580.0,265.0,580.0,2.73,2.73,425.0,735.0,2.5,2.5,,0.61152935,637.0,0.45576468,0.73433591,0.00039574,5.96338623,-83.62712087,2.65,72213.63192858
2023-05-28,1,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,405.0,260.0,405.0,2.66,2.66,335.0,500.0,5.7,0.01,,0.35112619,480.0,0.3255631,0.69640657,0.00050472,7.43626196,-53.79911155,2.66,72068.63273333
2023-05-28,9,BTC-230530-26750-C,BTCUSDT,C,230530-26750,260.0,500.0,260.0,500.0,2.66,2.66,420.0,560.0,0.01,2.44,,0.40657043,524.0,0.35328522,0.72593571,0.00047916,6.55505371,-60.41190231,2.66,72226.89355
2023-05-28,14,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,580.0,265.0,580.0,2.73,2.73,450.0,650.0,2.4,2.5,,0.53048849,575.0,0.41524425,0.72237162,0.00043399,6.23611676,-75.79006995,2.65,72062.18632142
2023-05-28,19,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,860.0,265.0,860.0,2.74,2.74,725.0,1005.0,2.4,4.9,,0.76156616,879.0,0.53078308,0.80454112,0.00029478,4.87217535,-86.20160966,2.66,73220.1271
2023-05-28,0,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,405.0,260.0,405.0,2.66,2.66,375.0,500.0,5.25,0.01,,0.36340117,475.0,0.33170059,0.68292308,0.00050055,7.64309057,-55.31355984,0.15,4056.66814286
2023-05-28,23,BTC-230530-26750-C,BTCUSDT,C,230530-26750,405.0,1200.0,405.0,1200.0,2.67,2.67,1190.0,1645.0,2.5,2.5,,1.24883652,1418.0,0.77441826,0.85310505,0.00017502,3.9002279,-113.26430537,2.66,74691.24326665
2023-05-28,7,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,500.0,260.0,500.0,2.67,2.67,340.0,560.0,2.5,0.04,,0.32203197,553.0,0.31101599,0.7804732,0.00047184,5.95946871,-46.33698297,2.66,72390.03229999
2023-05-28,20,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,860.0,265.0,860.0,2.74,2.74,770.0,1000.0,2.4,2.4,,0.72549582,891.0,0.51274791,0.82425966,0.0002894,4.50191945,-79.14279277,2.66,73298.51919999
2023-05-28,13,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,580.0,265.0,580.0,2.73,2.73,420.0,635.0,0.01,2.5,,0.51150322,565.0,0.40575161,0.72026975,0.00044059,6.33272322,-73.41367577,2.65,72029.68975
2023-05-28,5,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,500.0,260.0,500.0,2.67,2.67,340.0,580.0,2.5,0.04,,0.40871263,541.0,0.35435631,0.72187951,0.00046136,6.88597973,-58.56184394,2.66,72257.3971
2023-05-28,4,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,500.0,260.0,500.0,2.67,2.67,355.0,730.0,2.5,2.5,,0.60125828,615.0,0.45062914,0.67999366,0.00038283,7.41309244,-78.60087689,2.66,72267.79896667
2023-05-28,10,BTC-230530-26750-C,BTCUSDT,C,230530-26750,260.0,500.0,260.0,500.0,2.66,2.66,425.0,560.0,2.4,0.04,,0.34600735,546.0,0.32300367,0.77428193,0.00047691,5.86019664,-50.47608954,2.66,72383.70910001
2023-05-28,12,BTC-230530-26750-C,BTCUSDT,C,230530-26750,265.0,580.0,265.0,580.0,2.73,2.73,420.0,1050.0,0.01,2.4,,1.11731291,750.0,0.70865645,0.62384366,0.00028169,7.21704993,-142.72677128,2.65,71905.84136904
