date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-09,10,BTC-231010-28000-C,BTCUSDT,C,231010-28000,160.0,225.0,50.0,55.0,47.81,47.81,50.0,55.0,7.92,6.63,,0.39044738,52.0,0.38354278,0.1869019,0.00051958,3.62109068,-79.3614172,32.79,902731.86919791
2023-10-09,16,BTC-231010-28000-C,BTCUSDT,C,231010-28000,225.0,225.0,15.0,15.0,69.65,69.65,20.0,25.0,2.05,12.39,,0.42238176,22.0,0.4100126,0.10221529,0.00038359,2.02185718,-66.31772591,37.01,1014063.87715508
2023-10-09,23,BTC-231010-28000-C,BTCUSDT,C,231010-28000,210.0,210.0,10.0,10.0,100.42,100.42,10.0,15.0,13.13,3.07,,0.38078487,12.0,0.36215425,0.08904064,0.00053355,1.34316991,-72.96266954,58.15,1603800.42614269
2023-10-09,8,BTC-231010-28000-C,BTCUSDT,C,231010-28000,195.0,225.0,95.0,95.0,24.39,24.39,95.0,100.0,3.87,4.24,,0.35491467,97.0,0.34992039,0.30858788,0.00070774,5.00569791,-91.38650201,17.53,486448.38054726
2023-10-09,9,BTC-231010-28000-C,BTCUSDT,C,231010-28000,150.0,225.0,55.0,60.0,29.55,29.55,55.0,65.0,8.16,16.55,,0.40129423,59.0,0.38841635,0.20167925,0.00052482,3.8837543,-82.28152486,17.74,488491.10605496
2023-10-09,18,BTC-231010-28000-C,BTCUSDT,C,231010-28000,210.0,220.0,15.0,30.0,92.89,92.89,25.0,30.0,6.0,24.64,,0.3809613,27.0,0.37029266,0.13829783,0.00056133,2.34402147,-80.11896054,53.23,1467849.12365611
2023-10-09,13,BTC-231010-28000-C,BTCUSDT,C,231010-28000,195.0,225.0,35.0,35.0,56.71,56.71,30.0,35.0,4.59,18.16,,0.36563993,32.0,0.3567782,0.1433851,0.00050828,2.82172644,-67.11433053,35.59,979648.77169355
2023-10-09,17,BTC-231010-28000-C,BTCUSDT,C,231010-28000,190.0,220.0,15.0,25.0,74.88,74.88,20.0,25.0,18.35,1.37,,0.33329248,22.0,0.32241672,0.12731276,0.00058631,2.29969085,-63.55234943,41.28,1138648.70357785
2023-10-09,22,BTC-231010-28000-C,BTCUSDT,C,231010-28000,215.0,220.0,15.0,15.0,100.3,100.3,10.0,15.0,15.52,2.65,,0.3604275,12.0,0.3428182,0.08874787,0.00053015,1.42104163,-64.95251991,58.15,1604411.71044534
2023-10-09,15,BTC-231010-28000-C,BTCUSDT,C,231010-28000,225.0,225.0,15.0,15.0,64.14,64.14,10.0,15.0,31.71,11.75,,0.33738077,12.0,0.3221184,0.07375243,0.0003699,1.63920377,-39.60063987,37.4,1026870.13265932
