date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-06-08,8,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,355.0,355.0,0.01,0.01,300.0,345.0,2.42,3.57,,0.33195078,322.0,0.30821055,-0.52550077,0.00054261,9.47779837,-49.37148232,0.01,264.45154444
2023-06-08,9,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,355.0,355.0,0.01,0.01,330.0,370.0,3.42,3.28,,0.32882333,349.0,0.30735224,-0.55652795,0.00054475,9.3154591,-49.08198692,0.01,263.93202667
2023-06-08,10,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,355.0,355.0,0.01,0.01,295.0,330.0,4.24,8.97,,0.34333169,312.0,0.32466888,-0.50251665,0.00052276,9.37694627,-52.94592047,0.01,264.85677333
2023-06-08,11,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,355.0,355.0,0.01,0.01,340.0,365.0,0.05,2.14,,0.35507321,352.0,0.34158677,-0.52764465,0.00050029,9.26854905,-55.8706021,0.01,264.36262
2023-06-08,12,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,345.0,345.0,0.05,0.05,340.0,345.0,0.05,5.47,,0.35852075,342.0,0.3558135,-0.50688766,0.00048421,9.2349353,-58.85195925,0.05,1325.49122527
2023-06-08,13,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,345.0,345.0,0.05,0.05,355.0,400.0,4.15,3.46,,0.38061619,377.0,0.35586864,-0.54179452,0.00048649,9.09221211,-58.82944581,0.05,1320.19657143
2023-06-08,14,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,345.0,345.0,0.05,0.05,340.0,385.0,0.05,2.5,,0.4969871,362.0,0.47211885,-0.43862364,0.0003638,9.04794122,-78.86188407,0.05,1331.6404011
2023-06-08,15,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,340.0,340.0,0.1,0.1,215.0,245.0,2.5,3.11,,0.38052976,229.0,0.36338091,-0.38747476,0.00046139,8.74765719,-59.60095922,0.1,2672.50269231
2023-06-08,16,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,340.0,340.0,0.1,0.1,300.0,340.0,2.5,4.58,,0.37837505,320.0,0.35606414,-0.49476528,0.00049855,8.96420574,-60.79653602,0.1,2649.27435165
2023-06-08,17,BTC-230611-26500-P,BTCUSDT,P,230611-26500,355.0,355.0,340.0,340.0,0.1,0.1,300.0,335.0,2.5,3.66,,0.36793232,317.0,0.34824461,-0.50218152,0.00051414,8.8887,-59.91150917,0.1,2647.99724176
